annee,topic,mot,poids
2009.0,1,policy,0.0058110566
2009.0,2,energy,0.0035055145
2009.0,2,climate,0.0027246126
2009.0,2,oligopolies,0.001893848
2009.0,2,change,0.0012827063
2009.0,2,hiding,0.0012771694
2009.0,2,lifting,0.0012569173
2009.0,2,environment,0.0011449697
2009.0,2,emissions,0.0010157627
2009.0,2,environmental,0.0009520314
2009.0,2,policy,0.0008135979
2009.0,3,energy,0.0030901663
2009.0,3,change,0.0011074588
2009.0,3,climate,0.00100482
2009.0,3,environmental,0.0008518238
2009.0,3,environment,0.00065891945
2009.0,3,countries,0.00063111953
2009.0,3,sustainable,0.0006241585
2009.0,3,policy,0.00061756064
2009.0,3,emissions,0.0006080109
2009.0,3,economic,0.00060000527
2009.0,4,energy,0.03976122
2009.0,4,security,0.007923122
2009.0,4,climate,0.0077754934
2009.0,4,environment,0.007670654
2009.0,4,countries,0.00727436
2009.0,4,change,0.005535023
2009.0,4,economic,0.005180692
2009.0,4,states,0.0045644385
2009.0,4,policy,0.0044815224
2009.0,4,environmental,0.0044151694
2009.0,5,energy,0.0025657383
2009.0,5,climate,0.0014848445
2009.0,5,change,0.0011224141
2009.0,5,environmental,0.000953839
2009.0,5,policy,0.00070402335
2009.0,5,environment,0.00066076004
2009.0,5,sustainable,0.0005729632
2009.0,5,emissions,0.0005716882
2009.0,5,development,0.00053065177
2009.0,5,security,0.00051154115
2010.0,0,energy,0.03057414
2010.0,0,climate,0.012828101
2010.0,0,sustainable,0.009585378
2010.0,0,environment,0.009459708
2010.0,0,environmental,0.008969211
2010.0,0,change,0.008251828
2010.0,0,policy,0.0068463194
2010.0,0,economic,0.0060069626
2010.0,0,development,0.005783134
2010.0,0,efficiency,0.005291967
2010.0,1,energy,0.019102871
2010.0,1,sustainable,0.010759206
2010.0,1,climate,0.009569893
2010.0,1,environmental,0.008875368
2010.0,1,development,0.008836643
2010.0,1,economic,0.008537324
2010.0,1,environment,0.007280023
2010.0,1,social,0.0067192996
2010.0,1,change,0.006699613
2010.0,1,biodiversity,0.006233531
2010.0,2,energy,0.020907711
2010.0,2,environment,0.009152342
2010.0,2,sustainable,0.007772332
2010.0,2,climate,0.0072885863
2010.0,2,environmental,0.0071396655
2010.0,2,economic,0.0057160193
2010.0,2,president,0.005703286
2010.0,2,change,0.0054283366
2010.0,2,protection,0.004905541
2010.0,2,ladies,0.0045275153
2010.0,3,energy,0.010716226
2010.0,3,climate,0.010481801
2010.0,3,change,0.007928646
2010.0,3,environment,0.0067435727
2010.0,3,sustainable,0.006024875
2010.0,3,environmental,0.0060006967
2010.0,3,biodiversity,0.00556141
2010.0,3,food,0.0050668246
2010.0,3,economic,0.0048456374
2010.0,3,need,0.0046968632
2010.0,4,energy,0.001015647
2010.0,4,climate,0.00094845175
2010.0,4,sustainable,0.0007357327
2010.0,4,change,0.0006863187
2010.0,4,environment,0.0006680786
2010.0,4,environmental,0.0005703096
2010.0,4,social,0.00053253735
2010.0,4,economic,0.00050315954
2010.0,4,policy,0.0004904314
2010.0,4,europe,0.00048049496
2010.0,5,energy,0.014009995
2010.0,5,climate,0.010671727
2010.0,5,environmental,0.010405482
2010.0,5,environment,0.009306579
2010.0,5,social,0.008327786
2010.0,5,sustainable,0.008309554
2010.0,5,development,0.008159312
2010.0,5,biodiversity,0.0072297663
2010.0,5,change,0.0065324376
2010.0,5,protection,0.005610911
2011.0,0,energy,0.007937608
2011.0,0,climate,0.005846759
2011.0,0,environmental,0.0046675634
2011.0,0,waste,0.0036594244
2011.0,0,environment,0.0035771106
2011.0,0,change,0.003313216
2011.0,0,sustainable,0.003306139
2011.0,0,money,0.0031595288
2011.0,0,global,0.0030454502
2011.0,0,president,0.00304201
2011.0,1,energy,0.0042558755
2011.0,1,sustainable,0.0030058096
2011.0,1,environmental,0.0028108857
2011.0,1,development,0.0020681252
2011.0,1,economic,0.002066213
2011.0,1,environment,0.0020180845
2011.0,1,climate,0.001788872
2011.0,1,europe,0.0014667249
2011.0,1,report,0.0014437442
2011.0,1,change,0.0014016853
2011.0,2,energy,0.003290682
2011.0,2,environment,0.0016565027
2011.0,2,environmental,0.0013142041
2011.0,2,sustainable,0.0012959192
2011.0,2,development,0.001175999
2011.0,2,policy,0.0010973763
2011.0,2,climate,0.0010832003
2011.0,2,change,0.0007754597
2011.0,2,waste,0.0007371529
2011.0,2,nuclear,0.0007054231
2011.0,3,energy,0.018592572
2011.0,3,sustainable,0.012011674
2011.0,3,environmental,0.009693714
2011.0,3,environment,0.0087419115
2011.0,3,development,0.0087359175
2011.0,3,economic,0.007779554
2011.0,3,climate,0.00617578
2011.0,3,policy,0.005892808
2011.0,3,waste,0.005528601
2011.0,3,social,0.0055252593
2011.0,4,energy,0.027666988
2011.0,4,sustainable,0.011842474
2011.0,4,environment,0.01013226
2011.0,4,environmental,0.009607238
2011.0,4,climate,0.009414537
2011.0,4,development,0.007149037
2011.0,4,policy,0.00663945
2011.0,4,waste,0.0065467786
2011.0,4,europe,0.005896817
2011.0,4,economic,0.0056731496
2011.0,5,energy,0.0034925193
2011.0,5,sustainable,0.0016290342
2011.0,5,environmental,0.0014896306
2011.0,5,environment,0.0011336245
2011.0,5,climate,0.0011283066
2011.0,5,waste,0.0011219584
2011.0,5,development,0.0010115692
2011.0,5,europe,0.00089225796
2011.0,5,change,0.0008068344
2011.0,5,social,0.0007955796
2012.0,0,energy,0.024300154
2012.0,0,environment,0.0142023275
2012.0,0,sustainable,0.013336959
2012.0,0,climate,0.010662504
2012.0,0,environmental,0.008467465
2012.0,0,europe,0.006589852
2012.0,0,waste,0.006042855
2012.0,0,policy,0.006030565
2012.0,0,report,0.0054872977
2012.0,0,development,0.0051976643
2012.0,1,energy,0.031432673
2012.0,1,environmental,0.009061337
2012.0,1,climate,0.007986443
2012.0,1,environment,0.007784644
2012.0,1,sustainable,0.007422955
2012.0,1,policy,0.005772493
2012.0,1,europe,0.00577009
2012.0,1,report,0.0055546104
2012.0,1,waste,0.005155477
2012.0,1,economic,0.00507528
2012.0,2,energy,0.002373433
2012.0,2,environment,0.001186042
2012.0,2,sustainable,0.00116761
2012.0,2,environmental,0.0011211368
2012.0,2,waste,0.0011128685
2012.0,2,climate,0.0010222197
2012.0,2,development,0.0008499502
2012.0,2,economic,0.00076680706
2012.0,2,protection,0.0007530247
2012.0,2,growth,0.0007521378
2012.0,3,energy,0.026361784
2012.0,3,sustainable,0.012261314
2012.0,3,environment,0.011369512
2012.0,3,environmental,0.009687583
2012.0,3,climate,0.008747115
2012.0,3,development,0.006722722
2012.0,3,waste,0.006495092
2012.0,3,economic,0.006468237
2012.0,3,policy,0.006173648
2012.0,3,states,0.0058790133
2012.0,4,energy,0.0034944038
2012.0,4,climate,0.0017938468
2012.0,4,sustainable,0.0014865611
2012.0,4,environment,0.001368515
2012.0,4,environmental,0.0011898167
2012.0,4,development,0.0011666021
2012.0,4,waste,0.0011260159
2012.0,4,report,0.0009909531
2012.0,4,change,0.0008975253
2012.0,4,economic,0.00084289955
2012.0,5,energy,0.020365132
2012.0,5,sustainable,0.011052766
