annee,type,topic,valeur
2001.0,topic_weight,1,0.9757120609283447
2001.0,topic_weight,2,1.7076252698898315
2001.0,topic_weight,3,0.0
2001.0,topic_weight,4,12.306343078613281
2001.0,topic_weight,5,0.0
2001.0,nb_topics_actifs,,2.0
2001.0,mot_cle_eco,environment,1574.0
2001.0,mot_cle_eco,environmental,1414.0
2001.0,mot_cle_eco,climate,331.0
2001.0,mot_cle_eco,global,99.0
2001.0,mot_cle_eco,warming,32.0
2001.0,mot_cle_eco,biodiversity,69.0
2001.0,mot_cle_eco,ecosystem,13.0
2001.0,mot_cle_eco,pollution,290.0
2001.0,mot_cle_eco,sustainable,784.0
2001.0,mot_cle_eco,sustainability,159.0
2001.0,mot_cle_eco,renewable,173.0
2001.0,mot_cle_eco,energy,1174.0
2001.0,mot_cle_eco,carbon,48.0
2001.0,mot_cle_eco,greenhouse,87.0
2001.0,mot_cle_eco,emissions,312.0
2001.0,mot_cle_eco,ecological,112.0
2001.0,mot_cle_eco,atmospheric,6.0
2001.0,mot_cle_eco,ozone,69.0
2001.0,mot_cle_eco,waste,475.0
2002.0,topic_weight,0,0.0
2002.0,topic_weight,1,1.2617851495742798
2002.0,topic_weight,2,0.0
2002.0,topic_weight,3,0.07169552892446518
2002.0,topic_weight,4,13.663354873657227
2002.0,topic_weight,5,0.0
2002.0,nb_topics_actifs,,2.0
2002.0,mot_cle_eco,environment,1584.0
2002.0,mot_cle_eco,environmental,1314.0
2002.0,mot_cle_eco,climate,342.0
2002.0,mot_cle_eco,global,111.0
2002.0,mot_cle_eco,warming,18.0
2002.0,mot_cle_eco,biodiversity,169.0
2002.0,mot_cle_eco,ecosystem,14.0
2002.0,mot_cle_eco,pollution,180.0
2002.0,mot_cle_eco,sustainable,933.0
2002.0,mot_cle_eco,sustainability,174.0
2002.0,mot_cle_eco,renewable,132.0
2002.0,mot_cle_eco,energy,1100.0
2002.0,mot_cle_eco,carbon,41.0
2002.0,mot_cle_eco,greenhouse,97.0
2002.0,mot_cle_eco,emissions,320.0
2002.0,mot_cle_eco,ecological,109.0
2002.0,mot_cle_eco,atmospheric,3.0
2002.0,mot_cle_eco,ozone,30.0
2002.0,mot_cle_eco,waste,551.0
2003.0,topic_weight,0,0.9953166842460632
2003.0,topic_weight,1,0.9877913594245911
2003.0,topic_weight,2,7.39116096496582
2003.0,topic_weight,3,0.6376539468765259
2003.0,topic_weight,4,0.0
2003.0,topic_weight,5,4.9471540451049805
2003.0,nb_topics_actifs,,2.0
2003.0,mot_cle_eco,environment,1425.0
2003.0,mot_cle_eco,environmental,1252.0
2003.0,mot_cle_eco,climate,259.0
2003.0,mot_cle_eco,global,85.0
2003.0,mot_cle_eco,warming,23.0
2003.0,mot_cle_eco,biodiversity,108.0
2003.0,mot_cle_eco,ecosystem,24.0
2003.0,mot_cle_eco,pollution,282.0
2003.0,mot_cle_eco,sustainable,686.0
2003.0,mot_cle_eco,sustainability,191.0
2003.0,mot_cle_eco,renewable,107.0
2003.0,mot_cle_eco,energy,1162.0
2003.0,mot_cle_eco,carbon,39.0
2003.0,mot_cle_eco,greenhouse,89.0
2003.0,mot_cle_eco,emissions,324.0
2003.0,mot_cle_eco,ecological,130.0
2003.0,mot_cle_eco,atmospheric,11.0
2003.0,mot_cle_eco,ozone,21.0
2003.0,mot_cle_eco,waste,351.0
2004.0,topic_weight,0,2.9811365604400635
2004.0,topic_weight,1,8.493980407714844
2004.0,topic_weight,2,0.16280598938465118
2004.0,topic_weight,3,3.9081737995147705
2004.0,topic_weight,4,1.2045230865478516
2004.0,topic_weight,5,8.122288703918457
2004.0,nb_topics_actifs,,5.0
2004.0,mot_cle_eco,environment,1009.0
2004.0,mot_cle_eco,environmental,775.0
2004.0,mot_cle_eco,climate,279.0
2004.0,mot_cle_eco,global,98.0
2004.0,mot_cle_eco,warming,32.0
2004.0,mot_cle_eco,biodiversity,26.0
2004.0,mot_cle_eco,ecosystem,4.0
2004.0,mot_cle_eco,pollution,263.0
2004.0,mot_cle_eco,sustainable,471.0
2004.0,mot_cle_eco,sustainability,109.0
2004.0,mot_cle_eco,renewable,98.0
2004.0,mot_cle_eco,energy,615.0
2004.0,mot_cle_eco,carbon,24.0
2004.0,mot_cle_eco,greenhouse,60.0
2004.0,mot_cle_eco,emissions,140.0
2004.0,mot_cle_eco,ecological,59.0
2004.0,mot_cle_eco,atmospheric,1.0
2004.0,mot_cle_eco,ozone,8.0
2004.0,mot_cle_eco,waste,479.0
2005.0,topic_weight,0,2.392714500427246
2005.0,topic_weight,1,1.0559271574020386
2005.0,topic_weight,2,0.0
2005.0,topic_weight,3,1.378210186958313
2005.0,topic_weight,4,15.981311798095703
2005.0,topic_weight,5,4.162379741668701
2005.0,nb_topics_actifs,,5.0
2005.0,mot_cle_eco,environment,1494.0
2005.0,mot_cle_eco,environmental,1221.0
2005.0,mot_cle_eco,climate,730.0
2005.0,mot_cle_eco,global,191.0
2005.0,mot_cle_eco,warming,74.0
2005.0,mot_cle_eco,biodiversity,70.0
2005.0,mot_cle_eco,ecosystem,22.0
2005.0,mot_cle_eco,pollution,231.0
2005.0,mot_cle_eco,sustainable,686.0
2005.0,mot_cle_eco,sustainability,151.0
2005.0,mot_cle_eco,renewable,243.0
2005.0,mot_cle_eco,energy,1791.0
2005.0,mot_cle_eco,carbon,59.0
2005.0,mot_cle_eco,greenhouse,119.0
2005.0,mot_cle_eco,emissions,267.0
2005.0,mot_cle_eco,ecological,98.0
2005.0,mot_cle_eco,atmospheric,1.0
2005.0,mot_cle_eco,ozone,16.0
2005.0,mot_cle_eco,waste,521.0
2006.0,topic_weight,0,15.958837509155273
2006.0,topic_weight,1,0.0
2006.0,topic_weight,2,0.0
2006.0,topic_weight,3,9.013818740844727
2006.0,topic_weight,4,0.0
2006.0,topic_weight,5,0.0
2006.0,nb_topics_actifs,,2.0
2006.0,mot_cle_eco,environment,1586.0
2006.0,mot_cle_eco,environmental,1266.0
2006.0,mot_cle_eco,climate,643.0
2006.0,mot_cle_eco,global,171.0
2006.0,mot_cle_eco,warming,41.0
2006.0,mot_cle_eco,biodiversity,103.0
2006.0,mot_cle_eco,ecosystem,36.0
2006.0,mot_cle_eco,pollution,385.0
2006.0,mot_cle_eco,sustainable,843.0
2006.0,mot_cle_eco,sustainability,243.0
2006.0,mot_cle_eco,renewable,378.0
2006.0,mot_cle_eco,energy,3829.0
2006.0,mot_cle_eco,carbon,121.0
2006.0,mot_cle_eco,greenhouse,131.0
2006.0,mot_cle_eco,emissions,551.0
2006.0,mot_cle_eco,ecological,107.0
2006.0,mot_cle_eco,atmospheric,2.0
2006.0,mot_cle_eco,ozone,7.0
2006.0,mot_cle_eco,waste,398.0
2007.0,topic_weight,0,8.67954158782959
2007.0,topic_weight,1,0.03430881351232529
2007.0,topic_weight,2,0.15170007944107056
2007.0,topic_weight,3,7.224554538726807
2007.0,topic_weight,4,10.607243537902832
2007.0,topic_weight,5,0.2510550022125244
2007.0,nb_topics_actifs,,3.0
2007.0,mot_cle_eco,environment,1567.0
2007.0,mot_cle_eco,environmental,1310.0
2007.0,mot_cle_eco,climate,1623.0
2007.0,mot_cle_eco,global,375.0
2007.0,mot_cle_eco,warming,139.0
2007.0,mot_cle_eco,biodiversity,163.0
2007.0,mot_cle_eco,ecosystem,50.0
2007.0,mot_cle_eco,pollution,248.0
2007.0,mot_cle_eco,sustainable,806.0
2007.0,mot_cle_eco,sustainability,191.0
2007.0,mot_cle_eco,renewable,466.0
2007.0,mot_cle_eco,energy,3556.0
2007.0,mot_cle_eco,carbon,233.0
2007.0,mot_cle_eco,greenhouse,195.0
2007.0,mot_cle_eco,emissions,755.0
2007.0,mot_cle_eco,ecological,134.0
2007.0,mot_cle_eco,atmospheric,3.0
2007.0,mot_cle_eco,ozone,6.0
2007.0,mot_cle_eco,waste,739.0
2008.0,topic_weight,0,3.3497021198272705
2008.0,topic_weight,1,3.007857084274292
2008.0,topic_weight,2,3.1361217498779297
2008.0,topic_weight,3,14.14962100982666
2008.0,topic_weight,4,0.0
2008.0,topic_weight,5,3.330198049545288
2008.0,nb_topics_actifs,,5.0
2008.0,mot_cle_eco,environment,1824.0
2008.0,mot_cle_eco,environmental,1619.0
