annee,pays,nb_mots,nb_mots_ecologiques
2016,HUN.txt,661452,2571
2016,EST.txt,63467,171
2016,ESP.txt,1291907,4203
2016,LUX.txt,23856,83
2016,LVA.txt,88223,291
2016,GRC.txt,399030,1057
2016,IRL.txt,273089,811
2016,CYP.txt,148754,661
2016,FIN.txt,59083,259
2016,ROU.txt,604733,2572
2016,BEL.txt,444629,1829
2016,FRA.txt,1428020,3846
2016,AUT.txt,174990,413
2016,BGR.txt,230277,819
2007,ITA.txt,210410,676
2007,MLT.txt,27358,74
2007,POL.txt,314612,940
2007,CZE.txt,59789,224
2007,GBR.txt,332206,892
2007,DEU.txt,520813,1687
2007,PRT.txt,190144,744
2007,SVK.txt,54178,178
2007,SVN.txt,16346,122
2007,LTU.txt,85730,428
2007,NLD.txt,121401,361
2007,DNK.txt,40062,167
2007,SWE.txt,96771,419
2007,HUN.txt,78576,426
2007,EST.txt,27933,85
2007,ESP.txt,263669,689
2007,LUX.txt,29478,85
2007,LVA.txt,14840,79
2007,GRC.txt,170286,741
2007,IRL.txt,89866,168
2007,CYP.txt,51939,152
2007,FIN.txt,68071,567
2007,ROU.txt,77207,293
2007,BEL.txt,103457,268
2007,FRA.txt,330456,1128
2007,AUT.txt,107551,493
2007,BGR.txt,19218,65
2022,ITA.txt,165778,859
2022,HRV.txt,102512,351
2022,MLT.txt,64736,335
2022,POL.txt,310249,1097
2022,CZE.txt,50385,303
2022,DEU.txt,294145,1382
2022,PRT.txt,112195,728
2022,SVK.txt,163752,719
2022,SVN.txt,44102,232
2022,LTU.txt,23289,87
2022,NLD.txt,117343,792
2022,DNK.txt,19841,171
2022,SWE.txt,97567,528
2022,HUN.txt,91723,322
2022,EST.txt,80183,364
2022,ESP.txt,252240,1376
2022,LUX.txt,39063,146
2022,LVA.txt,13215,41
2022,GRC.txt,47407,264
2022,IRL.txt,305547,1759
2022,CYP.txt,7038,20
2022,FIN.txt,16836,329
2022,ROU.txt,288800,1121
2022,BEL.txt,104292,533
2022,FRA.txt,434020,2546
2022,AUT.txt,44493,325
2022,BGR.txt,80283,489
2009,ITA.txt,233039,550
2009,MLT.txt,26423,62
2009,POL.txt,311638,1001
2009,CZE.txt,53664,214
2009,GBR.txt,318682,938
2009,DEU.txt,392107,1159
2009,PRT.txt,156229,695
2009,SVK.txt,44054,110
2009,SVN.txt,23230,158
2009,LTU.txt,56825,283
2009,NLD.txt,94892,362
2009,DNK.txt,33302,85
2009,SWE.txt,93295,391
2009,HUN.txt,80298,357
2009,EST.txt,30398,90
2009,ESP.txt,188342,375
2009,LUX.txt,33324,116
2009,LVA.txt,17809,99
2009,GRC.txt,154705,554
2009,IRL.txt,129727,392
2009,CYP.txt,21860,56
2009,FIN.txt,40067,265
2009,ROU.txt,216199,1309
2009,BEL.txt,83656,197
2009,FRA.txt,246272,736
2009,AUT.txt,91687,258
2009,BGR.txt,47678,231
2003,ITA.txt,254853,437
2003,GBR.txt,471973,746
2003,DEU.txt,496638,801
2003,PRT.txt,229705,709
2003,NLD.txt,241277,632
2003,DNK.txt,77866,162
2003,SWE.txt,106281,286
2003,ESP.txt,491022,862
2003,LUX.txt,39090,119
2003,GRC.txt,183955,368
2003,IRL.txt,193447,294
2003,FIN.txt,86177,413
2003,BEL.txt,121245,258
2003,FRA.txt,403956,864
2003,AUT.txt,108590,310
2019,ITA.txt,233107,837
2019,HRV.txt,72091,183
2019,MLT.txt,41073,105
2019,POL.txt,198390,670
2019,CZE.txt,83154,229
2019,GBR.txt,299257,1200
2019,DEU.txt,319444,1078
2019,PRT.txt,106685,276
2019,SVK.txt,52291,153
2019,SVN.txt,52446,115
2019,LTU.txt,15735,42
2019,NLD.txt,78574,264
2019,DNK.txt,22735,115
2019,SWE.txt,78886,379
2019,HUN.txt,36674,127
2019,EST.txt,27413,115
2019,ESP.txt,267693,955
2019,LUX.txt,15759,101
2019,LVA.txt,13999,21
2019,GRC.txt,66408,225
2019,IRL.txt,102935,377
2019,CYP.txt,8778,32
2019,FIN.txt,34391,213
2019,ROU.txt,235912,601
2019,BEL.txt,71925,239
2019,FRA.txt,214814,876
2019,AUT.txt,46579,185
2019,BGR.txt,50658,160
2013,ITA.txt,635242,2528
2013,HRV.txt,101874,337
2013,MLT.txt,32865,131
2013,POL.txt,387751,1683
2013,CZE.txt,71847,233
2013,GBR.txt,477667,1429
2013,DEU.txt,472949,1018
2013,PRT.txt,810162,3407
2013,SVK.txt,191333,771
2013,SVN.txt,45411,264
2013,LTU.txt,277300,1773
2013,NLD.txt,104534,235
2013,DNK.txt,34113,126
2013,SWE.txt,95359,318
2013,HUN.txt,180356,531
2013,EST.txt,44739,170
2013,ESP.txt,437948,1148
2013,LUX.txt,29813,124
2013,LVA.txt,46748,174
2013,GRC.txt,149830,468
2013,IRL.txt,166866,437
2013,CYP.txt,43545,143
2013,FIN.txt,81109,258
2013,ROU.txt,425131,1940
2013,BEL.txt,240215,867
2013,FRA.txt,778484,3434
2013,AUT.txt,243019,771
2013,BGR.txt,106121,231
2017,ITA.txt,408186,1275
2017,HRV.txt,87694,272
2017,MLT.txt,45243,115
2017,POL.txt,254054,675
2017,CZE.txt,180570,396
2017,GBR.txt,234635,472
2017,DEU.txt,421443,990
2017,PRT.txt,136233,461
2017,SVK.txt,45703,65
2017,SVN.txt,41967,87
2017,LTU.txt,36604,86
2017,NLD.txt,98739,240
2017,DNK.txt,30016,139
2017,SWE.txt,103013,341
2017,HUN.txt,86346,311
2017,EST.txt,40684,98
2017,ESP.txt,334386,1090
2017,LUX.txt,16220,47
2017,LVA.txt,22011,63
2017,GRC.txt,175472,423
2017,IRL.txt,68038,183
2017,CYP.txt,35609,111
2017,FIN.txt,44434,265
2017,ROU.txt,225198,497
2017,BEL.txt,127874,301
2017,FRA.txt,199119,548
2017,AUT.txt,77670,194
2017,BGR.txt,74061,130
2021,ITA.txt,153627,525
2021,HRV.txt,116428,332
2021,MLT.txt,76991,285
2021,POL.txt,404285,1397
2021,CZE.txt,47256,161
2021,DEU.txt,323603,1578
2021,PRT.txt,117783,557
2021,SVK.txt,94915,534
2021,SVN.txt,46919,164
2021,LTU.txt,18642,40
2021,NLD.txt,93365,460
2021,DNK.txt,26527,157
2021,SWE.txt,78273,428
2021,HUN.txt,63756,252
2021,EST.txt,44063,112
2021,ESP.txt,303116,1052
2021,LUX.txt,22033,19
2021,LVA.txt,17715,96
2021,GRC.txt,36784,197
2021,IRL.txt,175290,920
2021,CYP.txt,9613,21
2021,FIN.txt,16066,220
2021,ROU.txt,296522,1129
2021,BEL.txt,121173,414
2021,FRA.txt,399991,1953
2021,AUT.txt,35549,233
2021,BGR.txt,75503,300
2004,ITA.txt,164992,288
2004,MLT.txt,6984,2
2004,POL.txt,71173,48
2004,CZE.txt,10223,7
2004,GBR.txt,296274,411
2004,DEU.txt,348799,506
2004,PRT.txt,204876,504
2004,SVK.txt,8045,6
2004,SVN.txt,5600,5
2004,LTU.txt,8137,5
2004,NLD.txt,144673,327
2004,DNK.txt,49738,48
2004,SWE.txt,89917,342
2004,HUN.txt,14278,36
2004,EST.txt,4910,6
2004,ESP.txt,315256,671
2004,LUX.txt,19740,77
2004,LVA.txt,9065,3
2004,GRC.txt,116683,236
2004,IRL.txt,130079,222
2004,CYP.txt,7740,5
2004,FIN.txt,44270,243
2004,BEL.txt,76856,116
2004,FRA.txt,237427,543
2004,AUT.txt,68540,111
2000,ITA.txt,293284,490
2000,GBR.txt,522198,851
2000,DEU.txt,521745,1081
2000,PRT.txt,117311,230
2000,NLD.txt,239593,625
2000,DNK.txt,90726,126
2000,SWE.txt,130182,446
2000,ESP.txt,526453,869
2000,LUX.txt,45536,102
2000,GRC.txt,154557,310
2000,IRL.txt,116554,458
2000,FIN.txt,96623,453
2000,BEL.txt,120669,230
2000,FRA.txt,612247,1231
2000,AUT.txt,116511,191
2010,ITA.txt,378282,1134
2010,MLT.txt,38513,74
2010,POL.txt,420739,1307
2010,CZE.txt,69479,302
2010,GBR.txt,318630,744
2010,DEU.txt,412693,983
2010,PRT.txt,445747,2478
2010,SVK.txt,84385,326
2010,SVN.txt,19456,30
2010,LTU.txt,137744,1001
2010,NLD.txt,101818,247
2010,DNK.txt,42925,199
2010,SWE.txt,72952,303
2010,HUN.txt,106212,413
2010,EST.txt,31803,96
2010,ESP.txt,284896,724
2010,LUX.txt,29571,69
2010,LVA.txt,22524,57
2010,GRC.txt,212725,627
2010,IRL.txt,131146,242
2010,CYP.txt,18371,33
2010,FIN.txt,61486,266
2010,ROU.txt,340542,1647
2010,BEL.txt,142656,462
2010,FRA.txt,369963,1480
2010,AUT.txt,193735,724
2010,BGR.txt,57301,149
2014,ITA.txt,641651,1830
2014,HRV.txt,498281,1975
2014,MLT.txt,107778,382
2014,POL.txt,264317,796
2014,CZE.txt,62996,137
2014,GBR.txt,377303,878
2014,DEU.txt,453817,891
2014,PRT.txt,454939,1381
2014,SVK.txt,120274,302
2014,SVN.txt,38430,144
2014,LTU.txt,142692,531
2014,NLD.txt,105061,250
2014,DNK.txt,23810,92
2014,SWE.txt,87389,395
2014,HUN.txt,140258,314
2014,EST.txt,36955,124
2014,ESP.txt,467121,1223
2014,LUX.txt,15867,25
2014,LVA.txt,21080,49
2014,GRC.txt,114882,222
2014,IRL.txt,97687,156
2014,CYP.txt,28780,53
2014,FIN.txt,52855,238
2014,ROU.txt,338063,995
2014,BEL.txt,209048,781
2014,FRA.txt,582325,1861
2014,AUT.txt,173165,400
2014,BGR.txt,64746,123
